time	oxygen	pressure	temperature	salinity
30-07-2019 05:40:42	80.18	-0.02	20.71	0.01
30-07-2019 05:40:43	80.18	0.01	20.70	0.01
30-07-2019 05:40:43	80.18	0.00	20.70	0.01
30-07-2019 05:40:44	80.18	0.00	20.70	0.01
30-07-2019 05:40:44	80.18	-0.03	20.70	0.01
30-07-2019 05:40:45	80.18	0.01	20.69	0.01
30-07-2019 05:40:45	80.17	-0.01	20.69	0.01
30-07-2019 05:40:46	80.17	0.01	20.69	0.01
30-07-2019 05:40:46	80.17	-0.01	20.69	0.01
30-07-2019 05:40:47	80.17	0.01	20.69	0.01
30-07-2019 05:40:47	80.16	-0.01	20.69	0.01
30-07-2019 05:40:48	80.16	0.02	20.69	0.01
30-07-2019 05:40:48	80.16	-0.01	20.69	0.01
30-07-2019 05:40:49	80.18	0.00	20.71	0.01
30-07-2019 05:40:51	80.18	-0.01	20.72	0.01
30-07-2019 05:40:51	80.18	0.01	20.72	0.01
30-07-2019 05:40:52	80.18	-0.01	20.72	0.01
30-07-2019 05:40:52	80.18	0.00	20.72	0.01
30-07-2019 05:40:52	80.17	-0.02	20.71	0.01
30-07-2019 05:40:53	80.17	0.00	20.71	0.01
30-07-2019 05:40:53	80.17	-0.01	20.71	0.01
30-07-2019 05:40:55	80.17	0.01	20.71	0.01
30-07-2019 05:40:55	80.17	-0.02	20.71	0.01
30-07-2019 05:40:55	80.17	0.00	20.71	0.01
30-07-2019 05:40:56	80.16	-0.01	20.71	0.01
30-07-2019 05:40:56	80.16	0.00	20.71	0.01
30-07-2019 05:40:56	80.16	-0.01	20.72	0.01
30-07-2019 05:40:57	80.16	0.01	20.72	0.01
30-07-2019 05:40:57	80.16	-0.02	20.72	0.01
30-07-2019 05:40:58	80.16	0.00	20.72	0.01
30-07-2019 05:40:58	80.16	-0.01	20.72	0.01
30-07-2019 05:40:59	80.15	0.00	20.73	0.01
30-07-2019 05:41:00	80.15	-0.02	20.73	0.01
30-07-2019 05:41:00	80.15	0.02	20.73	0.01
30-07-2019 05:41:00	80.15	-0.01	20.72	0.01
30-07-2019 05:41:01	80.16	0.00	20.73	0.01
30-07-2019 05:41:01	80.16	-0.02	20.73	0.01
30-07-2019 05:41:01	80.16	0.02	20.73	0.01
30-07-2019 05:41:02	80.16	-0.01	20.73	0.01
30-07-2019 05:41:02	80.16	0.02	20.72	0.01
30-07-2019 05:41:02	80.16	0.00	20.72	0.01
30-07-2019 05:41:03	80.15	0.01	20.72	0.01
30-07-2019 05:41:03	80.16	-0.01	20.72	0.01
30-07-2019 05:41:04	80.15	0.00	20.72	0.01
30-07-2019 05:41:04	80.16	-0.01	20.73	0.01
30-07-2019 05:41:05	80.15	0.01	20.73	0.01
30-07-2019 05:41:05	80.15	-0.01	20.73	0.01
30-07-2019 05:41:06	80.15	0.01	20.74	0.01
30-07-2019 05:41:07	80.14	-0.02	20.75	0.01
30-07-2019 05:41:07	80.14	0.01	20.75	0.01
30-07-2019 05:41:07	80.13	0.00	20.75	0.01
30-07-2019 05:41:08	80.13	0.02	20.75	0.01
30-07-2019 05:41:08	80.13	-0.01	20.75	0.01
30-07-2019 05:41:09	80.12	0.01	20.76	0.01
30-07-2019 05:41:09	80.12	-0.04	20.75	0.01
30-07-2019 05:41:10	80.12	0.01	20.76	0.01
30-07-2019 05:41:10	80.12	0.00	20.76	0.01
30-07-2019 05:41:10	80.12	0.01	20.75	0.01
30-07-2019 05:41:11	80.12	0.00	20.76	0.01
30-07-2019 05:41:11	80.12	0.01	20.76	0.01
30-07-2019 05:41:11	80.13	0.00	20.76	0.01
30-07-2019 05:41:12	80.12	0.02	20.75	0.01
30-07-2019 05:41:12	80.13	-0.01	20.74	0.01
30-07-2019 05:41:13	80.14	0.03	20.74	0.01
30-07-2019 05:41:13	80.14	0.00	20.74	0.01
30-07-2019 05:41:14	80.15	0.02	20.74	0.01
30-07-2019 05:41:14	80.15	0.00	20.73	0.01
30-07-2019 05:41:14	80.15	0.01	20.73	0.01
