time	oxygen	pressure	temperature	salinity
30-07-2019 03:28:19	62.965,00	325.071,00	14.693,00	35.509,00
30-07-2019 03:28:20	62.898,00	326.06	14.691,00	35.514,00
30-07-2019 03:28:21	62.802,00	327.188,00	14.681,00	35.502,00
30-07-2019 03:28:22	62.735,00	328.192,00	14.657,00	35.505,00
30-07-2019 03:28:22	62.753,00	329.065,00	14.628,00	35.511,00
30-07-2019 03:28:24	62.873,00	330.016,00	14.597,00	35.46
30-07-2019 03:28:26	62.795,00	331.099,00	14.557,00	35.481,00
30-07-2019 03:28:27	62.71	332.08	14.546,00	35.495,00
30-07-2019 03:28:28	62.636,00	333.11	14.53	35.49
30-07-2019 03:28:28	62.608,00	334.086,00	14.517,00	35.498,00
30-07-2019 03:28:30	62.661,00	335.051,00	14.506,00	35.453,00
30-07-2019 03:28:31	62.594,00	336.107,00	14.489,00	35.477,00
30-07-2019 03:28:32	62.513,00	337.053,00	14.481,00	35.476,00
30-07-2019 03:28:33	62.439,00	338.101,00	14.467,00	35.467,00
30-07-2019 03:28:34	62.41	339.022,00	14.443,00	35.481,00
30-07-2019 03:28:35	62.449,00	340.146,00	14.427,00	35.486,00
30-07-2019 03:28:36	62.516,00	341.082,00	14.415,00	35.487,00
30-07-2019 03:28:37	62.594,00	342.074,00	14.398,00	35.449,00
30-07-2019 03:28:38	62.537,00	343.072,00	14.365,00	35.471,00
30-07-2019 03:28:39	62.396,00	344.128,00	14.349,00	35.478,00
30-07-2019 03:28:40	62.255,00	345.131,00	14.327,00	35.477,00
30-07-2019 03:28:41	62.244,00	346.11	14.305,00	35.484,00
30-07-2019 03:28:43	62.294,00	347.01	14.28	35.427,00
30-07-2019 03:28:45	62.195,00	348.012,00	14.264,00	35.45
30-07-2019 03:28:46	62.093,00	349.183,00	14.249,00	35.449,00
30-07-2019 03:28:46	62.04	350.159,00	14.239,00	35.45
30-07-2019 03:28:47	62.025,00	351.227,00	14.229,00	35.448,00
30-07-2019 03:28:47	62.047,00	352.196,00	14.223,00	35.449,00
30-07-2019 03:28:48	62.075,00	353.055,00	14.208,00	35.453,00
